id_cliente,segmento_comercial
5001,Contratista Pyme
5002,Maestro Mayor
5003,Maestro Mayor
5004,Maestro Mayor
5005,Contratista Pyme
5006,Contratista Pyme
5007,Gran Constructora
5008,Maestro Mayor
5009,Maestro Mayor
5010,Maestro Mayor
5011,Gran Constructora
5012,Maestro Mayor
5013,Maestro Mayor
5014,Contratista Pyme
5015,Contratista Pyme
5016,Contratista Pyme
5017,Contratista Pyme
5018,Maestro Mayor
5019,Contratista Pyme
5020,Contratista Pyme
5021,Maestro Mayor
5022,Contratista Pyme
5023,Contratista Pyme
5024,Contratista Pyme
5025,Contratista Pyme
5026,Maestro Mayor
5027,Contratista Pyme
5028,Maestro Mayor
5029,Maestro Mayor
5030,Gran Constructora
5031,Maestro Mayor
5032,Contratista Pyme
5033,Gran Constructora
5034,Maestro Mayor
5035,Maestro Mayor
5036,Maestro Mayor
5037,Contratista Pyme
5038,Gran Constructora
5039,Maestro Mayor
5040,Contratista Pyme
5041,Contratista Pyme
5042,Contratista Pyme
5043,Gran Constructora
5044,Maestro Mayor
5045,Contratista Pyme
5046,Maestro Mayor
5047,Contratista Pyme
5048,Maestro Mayor
5049,Maestro Mayor
5050,Contratista Pyme
5051,Maestro Mayor
5052,Maestro Mayor
5053,Maestro Mayor
5054,Maestro Mayor
5055,Maestro Mayor
5056,Maestro Mayor
5057,Gran Constructora
5058,Contratista Pyme
5059,Gran Constructora
5060,Contratista Pyme
5061,Contratista Pyme
5062,Contratista Pyme
5063,Maestro Mayor
5064,Contratista Pyme
5065,Contratista Pyme
5066,Maestro Mayor
5067,Contratista Pyme
5068,Maestro Mayor
5069,Gran Constructora
5070,Maestro Mayor
5071,Maestro Mayor
5072,Contratista Pyme
5073,Gran Constructora
5074,Maestro Mayor
5075,Maestro Mayor
5076,Maestro Mayor
5077,Maestro Mayor
5078,Gran Constructora
5079,Contratista Pyme
5080,Contratista Pyme
5081,Maestro Mayor
5082,Maestro Mayor
5083,Contratista Pyme
5084,Gran Constructora
5085,Contratista Pyme
5086,Contratista Pyme
5087,Maestro Mayor
5088,Maestro Mayor
5089,Maestro Mayor
5090,Contratista Pyme
5091,Contratista Pyme
5092,Maestro Mayor
5093,Maestro Mayor
5094,Maestro Mayor
5095,Maestro Mayor
5096,Contratista Pyme
5097,Maestro Mayor
5098,Contratista Pyme
5099,Gran Constructora
5100,Contratista Pyme
5101,Gran Constructora
5102,Maestro Mayor
5103,Contratista Pyme
5104,Maestro Mayor
5105,Maestro Mayor
5106,Contratista Pyme
5107,Contratista Pyme
5108,Maestro Mayor
5109,Contratista Pyme
5110,Gran Constructora
5111,Contratista Pyme
5112,Contratista Pyme
5113,Maestro Mayor
5114,Maestro Mayor
5115,Maestro Mayor
5116,Maestro Mayor
5117,Maestro Mayor
5118,Contratista Pyme
5119,Maestro Mayor
5120,Maestro Mayor
5121,Maestro Mayor
5122,Maestro Mayor
5123,Contratista Pyme
5124,Contratista Pyme
5125,Contratista Pyme
5126,Contratista Pyme
5127,Maestro Mayor
5128,Maestro Mayor
5129,Gran Constructora
5130,Maestro Mayor
5131,Contratista Pyme
5132,Contratista Pyme
5133,Contratista Pyme
5134,Contratista Pyme
5135,Maestro Mayor
5136,Contratista Pyme
5137,Maestro Mayor
5138,Maestro Mayor
5139,Contratista Pyme
5140,Maestro Mayor
5141,Maestro Mayor
5142,Contratista Pyme
5143,Contratista Pyme
5144,Contratista Pyme
5145,Contratista Pyme
5146,Gran Constructora
5147,Maestro Mayor
5148,Maestro Mayor
5149,Gran Constructora
5150,Contratista Pyme
5151,Maestro Mayor
5152,Contratista Pyme
5153,Contratista Pyme
5154,Contratista Pyme
5155,Maestro Mayor
5156,Contratista Pyme
5157,Maestro Mayor
5158,Maestro Mayor
5159,Contratista Pyme
5160,Maestro Mayor
5161,Contratista Pyme
5162,Maestro Mayor
5163,Maestro Mayor
5164,Maestro Mayor
5165,Gran Constructora
5166,Maestro Mayor
5167,Contratista Pyme
5168,Contratista Pyme
5169,Gran Constructora
5170,Maestro Mayor
5171,Maestro Mayor
5172,Gran Constructora
5173,Maestro Mayor
5174,Contratista Pyme
5175,Maestro Mayor
5176,Contratista Pyme
5177,Maestro Mayor
5178,Contratista Pyme
5179,Maestro Mayor
5180,Contratista Pyme
5181,Contratista Pyme
5182,Contratista Pyme
5183,Maestro Mayor
5184,Maestro Mayor
5185,Contratista Pyme
5186,Maestro Mayor
5187,Maestro Mayor
5188,Maestro Mayor
5189,Maestro Mayor
5190,Contratista Pyme
5191,Gran Constructora
5192,Maestro Mayor
5193,Maestro Mayor
5194,Maestro Mayor
5195,Contratista Pyme
5196,Contratista Pyme
5197,Maestro Mayor
5198,Maestro Mayor
5199,Maestro Mayor
5200,Maestro Mayor
5201,Maestro Mayor
5202,Gran Constructora
5203,Contratista Pyme
5204,Maestro Mayor
5205,Maestro Mayor
5206,Gran Constructora
5207,Contratista Pyme
5208,Maestro Mayor
5209,Gran Constructora
5210,Contratista Pyme
5211,Maestro Mayor
5212,Maestro Mayor
5213,Maestro Mayor
5214,Contratista Pyme
5215,Maestro Mayor
5216,Contratista Pyme
5217,Contratista Pyme
5218,Maestro Mayor
5219,Maestro Mayor
5220,Maestro Mayor
5221,Maestro Mayor
5222,Maestro Mayor
5223,Gran Constructora
5224,Contratista Pyme
5225,Contratista Pyme
5226,Contratista Pyme
5227,Maestro Mayor
5228,Contratista Pyme
5229,Maestro Mayor
5230,Maestro Mayor
5231,Maestro Mayor
5232,Maestro Mayor
5233,Maestro Mayor
5234,Contratista Pyme
5235,Contratista Pyme
5236,Maestro Mayor
5237,Contratista Pyme
5238,Gran Constructora
5239,Maestro Mayor
5240,Contratista Pyme
5241,Maestro Mayor
5242,Maestro Mayor
5243,Maestro Mayor
5244,Contratista Pyme
5245,Gran Constructora
5246,Maestro Mayor
5247,Contratista Pyme
5248,Maestro Mayor
5249,Maestro Mayor
5250,Maestro Mayor
5251,Contratista Pyme
5252,Contratista Pyme
5253,Maestro Mayor
5254,Contratista Pyme
5255,Contratista Pyme
5256,Maestro Mayor
5257,Maestro Mayor
5258,Maestro Mayor
5259,Maestro Mayor
5260,Gran Constructora
5261,Maestro Mayor
5262,Maestro Mayor
5263,Contratista Pyme
5264,Maestro Mayor
