id_sucursal,mes,score_adopcion_sistema,errores_operativos_mensuales
SUC-001,1,30.57,14
SUC-001,2,29.3,15
SUC-001,3,30.64,9
SUC-001,4,20.61,15
SUC-001,5,17.9,17
SUC-001,6,45.31,13
SUC-001,7,27.87,17
SUC-001,8,31.49,13
SUC-001,9,23.87,14
SUC-001,10,26.12,15
SUC-001,11,31.61,13
SUC-001,12,34.37,15
SUC-002,1,94.5,0
SUC-002,2,59.46,9
SUC-002,3,71.33,5
SUC-002,4,73.3,1
SUC-002,5,90.41,3
SUC-002,6,79.23,0
SUC-002,7,79.54,4
SUC-002,8,70.21,6
SUC-002,9,84.85,4
SUC-002,10,86.2,0
SUC-002,11,96.97,0
SUC-002,12,84.73,1
SUC-003,1,53.35,7
SUC-003,2,57.41,11
SUC-003,3,39.42,8
SUC-003,4,82.07,3
SUC-003,5,49.96,12
SUC-003,6,50.92,13
SUC-003,7,70.17,4
SUC-003,8,92.36,0
SUC-003,9,71.13,6
SUC-003,10,79.53,7
SUC-003,11,60.48,6
SUC-003,12,66.9,5
SUC-004,1,90.2,2
SUC-004,2,54.52,9
SUC-004,3,39.79,10
SUC-004,4,78.01,3
SUC-004,5,44.3,12
SUC-004,6,77.79,5
SUC-004,7,74.94,3
SUC-004,8,38.67,15
SUC-004,9,55.16,8
SUC-004,10,79.92,5
SUC-004,11,66.84,10
SUC-004,12,50.35,11
SUC-005,1,30.57,14
SUC-005,2,45.28,11
SUC-005,3,35.38,15
SUC-005,4,26.35,13
SUC-005,5,19.55,12
SUC-005,6,50.56,7
SUC-005,7,27.79,13
SUC-005,8,33.07,15
SUC-005,9,38.6,11
SUC-005,10,28.33,14
SUC-005,11,27.51,17
SUC-005,12,34.91,14
SUC-006,1,69.94,8
SUC-006,2,62.72,4
SUC-006,3,66.0,5
SUC-006,4,52.07,10
SUC-006,5,78.57,4
SUC-006,6,64.63,10
SUC-006,7,63.61,12
SUC-006,8,68.48,2
SUC-006,9,71.3,6
SUC-006,10,79.35,5
SUC-006,11,57.92,5
SUC-006,12,56.86,6
SUC-007,1,24.19,16
SUC-007,2,46.7,11
SUC-007,3,18.04,17
SUC-007,4,41.97,10
SUC-007,5,28.66,14
SUC-007,6,22.15,16
SUC-007,7,28.79,15
SUC-007,8,21.13,14
SUC-007,9,37.22,11
SUC-007,10,47.27,9
SUC-007,11,32.25,15
SUC-007,12,15.82,13
SUC-008,1,37.12,15
SUC-008,2,51.72,14
SUC-008,3,51.54,10
SUC-008,4,83.13,7
SUC-008,5,90.92,4
SUC-008,6,75.36,6
SUC-008,7,71.68,4
SUC-008,8,47.73,10
SUC-008,9,57.45,7
SUC-008,10,70.45,7
SUC-008,11,61.33,10
SUC-008,12,42.87,11
SUC-009,1,22.83,11
SUC-009,2,29.17,13
SUC-009,3,45.13,12
SUC-009,4,19.76,19
SUC-009,5,42.21,12
SUC-009,6,27.74,12
SUC-009,7,26.28,16
SUC-009,8,48.85,13
SUC-009,9,25.11,12
SUC-009,10,31.41,10
SUC-009,11,33.23,13
SUC-009,12,25.34,11
SUC-010,1,90.14,0
SUC-010,2,73.3,0
SUC-010,3,84.72,6
SUC-010,4,100.0,0
SUC-010,5,78.98,5
SUC-010,6,75.02,5
SUC-010,7,92.66,3
SUC-010,8,84.0,2
SUC-010,9,76.22,3
SUC-010,10,82.74,4
SUC-010,11,94.14,0
SUC-010,12,99.93,0
SUC-011,1,59.68,6
SUC-011,2,23.64,17
SUC-011,3,71.05,5
SUC-011,4,61.0,8
SUC-011,5,36.56,11
SUC-011,6,71.91,3
SUC-011,7,64.4,4
SUC-011,8,67.0,6
SUC-011,9,35.77,15
SUC-011,10,48.98,8
SUC-011,11,63.01,9
SUC-011,12,44.76,11
SUC-012,1,66.43,8
SUC-012,2,62.65,6
SUC-012,3,47.59,10
SUC-012,4,43.92,5
SUC-012,5,66.55,8
SUC-012,6,24.56,13
SUC-012,7,69.29,10
SUC-012,8,60.31,6
SUC-012,9,57.26,11
SUC-012,10,50.31,8
SUC-012,11,52.76,7
SUC-012,12,61.84,10
SUC-013,1,64.85,6
SUC-013,2,55.62,5
SUC-013,3,73.25,5
SUC-013,4,57.29,14
SUC-013,5,64.48,5
SUC-013,6,53.6,11
SUC-013,7,61.7,4
SUC-013,8,73.79,3
SUC-013,9,88.1,4
SUC-013,10,53.29,11
SUC-013,11,61.02,9
SUC-013,12,67.27,4
SUC-014,1,50.35,11
SUC-014,2,54.98,8
SUC-014,3,45.67,11
SUC-014,4,90.94,0
SUC-014,5,60.36,10
SUC-014,6,58.81,9
SUC-014,7,44.06,12
SUC-014,8,57.19,10
SUC-014,9,77.81,9
SUC-014,10,68.69,6
SUC-014,11,62.92,6
SUC-014,12,65.08,6
SUC-015,1,62.53,10
SUC-015,2,44.9,13
SUC-015,3,79.76,3
SUC-015,4,28.17,13
SUC-015,5,79.45,4
SUC-015,6,45.01,9
SUC-015,7,72.61,6
SUC-015,8,56.42,7
SUC-015,9,54.12,7
SUC-015,10,84.23,2
SUC-015,11,78.26,7
SUC-015,12,74.97,4
SUC-016,1,66.06,6
SUC-016,2,46.44,11
SUC-016,3,42.31,13
SUC-016,4,53.03,9
SUC-016,5,64.25,6
SUC-016,6,68.8,5
SUC-016,7,73.07,2
SUC-016,8,61.9,11
SUC-016,9,45.0,9
SUC-016,10,67.71,6
SUC-016,11,65.26,7
SUC-016,12,69.52,8
SUC-017,1,89.1,1
SUC-017,2,91.73,5
SUC-017,3,83.67,1
SUC-017,4,96.07,0
SUC-017,5,63.27,9
SUC-017,6,79.65,3
SUC-017,7,88.32,2
SUC-017,8,92.09,0
SUC-017,9,90.13,1
SUC-017,10,92.39,2
SUC-017,11,75.65,7
SUC-017,12,79.64,5
SUC-018,1,65.51,10
SUC-018,2,56.65,7
SUC-018,3,59.71,7
SUC-018,4,72.0,2
SUC-018,5,44.19,9
SUC-018,6,74.25,8
SUC-018,7,58.43,7
SUC-018,8,61.05,10
SUC-018,9,46.09,11
SUC-018,10,74.63,6
SUC-018,11,62.84,9
SUC-018,12,19.45,17
SUC-019,1,78.46,0
SUC-019,2,90.11,4
