id_cliente,nombre_constructora,region,segmento_rfm,clv_proyectado_usd
CLT-0001,Constructora A0,Centro,En Riesgo,155331.03
CLT-0002,Constructora B1,Metropolitana,En Riesgo,109939.67
CLT-0003,Constructora C2,Metropolitana,En Riesgo,161405.94
CLT-0004,Constructora D3,Sur,Durmientes,59158.79
CLT-0005,Constructora E4,Norte,En Riesgo,166793.71
CLT-0006,Constructora F5,Norte,Campeones,554039.04
CLT-0007,Constructora G6,Norte,Durmientes,62508.83
CLT-0008,Constructora H7,Metropolitana,Durmientes,56887.7
CLT-0009,Constructora I8,Metropolitana,Durmientes,48947.51
CLT-0010,Constructora J9,Metropolitana,Durmientes,25085.59
CLT-0011,Constructora K10,Norte,En Riesgo,162888.55
CLT-0012,Constructora L11,Metropolitana,En Riesgo,156230.63
CLT-0013,Constructora M12,Metropolitana,Durmientes,54073.68
CLT-0014,Constructora N13,Centro,Durmientes,30848.77
CLT-0015,Constructora O14,Norte,Campeones,445947.17
CLT-0016,Constructora P15,Norte,Campeones,552657.64
CLT-0017,Constructora Q16,Centro,En Riesgo,148813.35
CLT-0018,Constructora R17,Sur,Durmientes,60222.51
CLT-0019,Constructora S18,Sur,Durmientes,50424.78
CLT-0020,Constructora T19,Centro,Campeones,501487.81
CLT-0021,Constructora U20,Metropolitana,En Riesgo,178148.51
CLT-0022,Constructora V21,Norte,En Riesgo,134518.66
CLT-0023,Constructora W22,Centro,Durmientes,51441.81
CLT-0024,Constructora X23,Centro,Durmientes,43065.87
CLT-0025,Constructora Y24,Sur,Durmientes,43482.56
CLT-0026,Constructora Z25,Metropolitana,En Riesgo,140724.84
CLT-0027,Constructora A26,Norte,En Riesgo,156664.01
CLT-0028,Constructora B27,Sur,En Riesgo,135637.54
CLT-0029,Constructora C28,Sur,Campeones,562787.81
CLT-0030,Constructora D29,Norte,Durmientes,36580.89
CLT-0031,Constructora E30,Metropolitana,Durmientes,47196.93
CLT-0032,Constructora F31,Norte,Durmientes,43404.03
CLT-0033,Constructora G32,Norte,Durmientes,71704.67
CLT-0034,Constructora H33,Metropolitana,En Riesgo,155896.64
CLT-0035,Constructora I34,Metropolitana,Durmientes,65477.67
CLT-0036,Constructora J35,Metropolitana,Durmientes,27716.59
CLT-0037,Constructora K36,Centro,Durmientes,54005.75
CLT-0038,Constructora L37,Norte,En Riesgo,176688.92
CLT-0039,Constructora M38,Metropolitana,En Riesgo,152468.52
CLT-0040,Constructora N39,Sur,Campeones,553274.02
CLT-0041,Constructora O40,Norte,Durmientes,42240.67
CLT-0042,Constructora P41,Sur,En Riesgo,192280.42
CLT-0043,Constructora Q42,Norte,En Riesgo,218966.94
CLT-0044,Constructora R43,Metropolitana,En Riesgo,139114.84
CLT-0045,Constructora S44,Centro,En Riesgo,136634.92
CLT-0046,Constructora T45,Metropolitana,En Riesgo,193601.53
CLT-0047,Constructora U46,Centro,Campeones,578978.61
CLT-0048,Constructora V47,Sur,En Riesgo,134314.2
CLT-0049,Constructora W48,Sur,En Riesgo,137394.4
CLT-0050,Constructora X49,Norte,Durmientes,45773.23
CLT-0051,Constructora Y50,Metropolitana,En Riesgo,109666.48
CLT-0052,Constructora Z51,Metropolitana,Durmientes,36220.22
CLT-0053,Constructora A52,Metropolitana,En Riesgo,119875.78
CLT-0054,Constructora B53,Metropolitana,En Riesgo,126966.07
CLT-0055,Constructora C54,Sur,Durmientes,49479.73
CLT-0056,Constructora D55,Metropolitana,En Riesgo,157026.44
CLT-0057,Constructora E56,Norte,Campeones,577525.02
CLT-0058,Constructora F57,Norte,Campeones,450082.3
CLT-0059,Constructora G58,Norte,Durmientes,64764.84
CLT-0060,Constructora H59,Centro,En Riesgo,143580.33
CLT-0061,Constructora I60,Centro,Durmientes,49258.04
CLT-0062,Constructora J61,Centro,En Riesgo,170244.58
CLT-0063,Constructora K62,Metropolitana,Campeones,443863.9
CLT-0064,Constructora L63,Centro,Campeones,519120.49
CLT-0065,Constructora M64,Centro,En Riesgo,154993.57
CLT-0066,Constructora N65,Sur,En Riesgo,164773.54
CLT-0067,Constructora O66,Norte,En Riesgo,158675.06
CLT-0068,Constructora P67,Metropolitana,En Riesgo,223659.0
CLT-0069,Constructora Q68,Norte,Durmientes,40433.9
CLT-0070,Constructora R69,Metropolitana,En Riesgo,134070.09
CLT-0071,Constructora S70,Metropolitana,En Riesgo,131305.78
CLT-0072,Constructora T71,Norte,Durmientes,41667.84
CLT-0073,Constructora U72,Norte,En Riesgo,130878.39
CLT-0074,Constructora V73,Metropolitana,En Riesgo,185670.5
CLT-0075,Constructora W74,Metropolitana,Durmientes,71307.56
CLT-0076,Constructora X75,Metropolitana,Durmientes,41438.81
CLT-0077,Constructora Y76,Metropolitana,Campeones,458382.22
CLT-0078,Constructora Z77,Norte,Durmientes,57071.23
CLT-0079,Constructora A78,Centro,En Riesgo,133433.31
CLT-0080,Constructora B79,Norte,En Riesgo,168987.95
CLT-0081,Constructora C80,Metropolitana,En Riesgo,156087.69
CLT-0082,Constructora D81,Metropolitana,Durmientes,27263.84
CLT-0083,Constructora E82,Centro,En Riesgo,196425.16
CLT-0084,Constructora F83,Norte,En Riesgo,203876.33
CLT-0085,Constructora G84,Centro,En Riesgo,131616.34
CLT-0086,Constructora H85,Centro,En Riesgo,138368.95
CLT-0087,Constructora I86,Metropolitana,Campeones,514293.27
CLT-0088,Constructora J87,Metropolitana,Campeones,516722.84
CLT-0089,Constructora K88,Metropolitana,Campeones,532927.21
CLT-0090,Constructora L89,Sur,Campeones,600510.23
CLT-0091,Constructora M90,Norte,Campeones,491152.64
CLT-0092,Constructora N91,Metropolitana,En Riesgo,126051.08
CLT-0093,Constructora O92,Metropolitana,Campeones,431034.04
CLT-0094,Constructora P93,Sur,En Riesgo,128072.1
CLT-0095,Constructora Q94,Metropolitana,Durmientes,49503.1
CLT-0096,Constructora R95,Sur,En Riesgo,203836.74
CLT-0097,Constructora S96,Sur,En Riesgo,134471.66
CLT-0098,Constructora T97,Sur,Campeones,511189.4
CLT-0099,Constructora U98,Norte,Campeones,499178.86
CLT-0100,Constructora V99,Norte,Campeones,559419.66
CLT-0101,Constructora W100,Norte,Campeones,626346.62
CLT-0102,Constructora X101,Metropolitana,En Riesgo,134073.94
