id_factura,id_cliente,id_sucursal,fecha,monto_lista,descuento_aplicado,monto_final,fuga_rentabilidad
FAC-026309,CLT-0204,SUC-040,2023-01-01,383.51,16.49,367.02,16.49
FAC-044382,CLT-0123,SUC-047,2023-01-01,4615.69,1097.53,3518.16,1097.53
FAC-036764,CLT-0431,SUC-004,2023-01-01,8455.04,492.64,7962.400000000001,492.64
FAC-044385,CLT-0421,SUC-017,2023-01-01,193.91,13.66,180.25,13.66
FAC-039505,CLT-0434,SUC-024,2023-01-01,420.64,38.22,382.41999999999996,38.22
FAC-041337,CLT-0052,SUC-013,2023-01-01,2936.37,469.73,2466.64,469.73
FAC-034308,CLT-0477,SUC-010,2023-01-01,775.38,43.66,731.72,43.66
FAC-039542,CLT-0386,SUC-030,2023-01-01,2295.81,397.14,1898.67,397.14
FAC-041379,CLT-0213,SUC-031,2023-01-01,8979.47,2623.57,6355.9,2623.57
FAC-026433,CLT-0289,SUC-021,2023-01-01,3274.46,628.44,2646.02,628.44
FAC-026470,CLT-0284,SUC-005,2023-01-01,1553.43,429.23,1124.2,429.23
FAC-026479,CLT-0421,SUC-011,2023-01-01,1307.1,197.78,1109.32,197.78
FAC-002315,CLT-0409,SUC-018,2023-01-01,4137.91,650.11,3487.7999999999997,650.11
FAC-029653,CLT-0166,SUC-030,2023-01-01,2557.15,443.94,2113.21,443.94
FAC-006722,CLT-0364,SUC-003,2023-01-01,5883.46,1106.86,4776.6,1106.86
FAC-019132,CLT-0415,SUC-016,2023-01-01,11487.2,1499.48,9987.720000000001,1499.48
FAC-012901,CLT-0072,SUC-001,2023-01-01,358.86,91.79,267.07,91.79
FAC-026449,CLT-0157,SUC-016,2023-01-01,437.65,59.51,378.14,59.51
FAC-012606,CLT-0433,SUC-040,2023-01-01,1220.93,73.74,1147.19,73.74
FAC-011708,CLT-0344,SUC-036,2023-01-01,158.69,17.26,141.43,17.26
FAC-049755,CLT-0045,SUC-043,2023-01-01,19653.44,2672.01,16981.43,2672.01
FAC-033776,CLT-0188,SUC-043,2023-01-01,2690.9,312.73,2378.17,312.73
FAC-037004,CLT-0462,SUC-039,2023-01-01,689.65,248.11,441.53999999999996,248.11
FAC-024693,CLT-0386,SUC-018,2023-01-01,944.89,127.62,817.27,127.62
FAC-030049,CLT-0239,SUC-029,2023-01-01,3609.38,330.65,3278.73,330.65
FAC-030004,CLT-0101,SUC-023,2023-01-01,3734.89,968.66,2766.23,968.66
FAC-018603,CLT-0044,SUC-028,2023-01-01,7991.74,742.94,7248.799999999999,742.94
